City Name,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed,Date
Mackay,AU,-21.15,149.2,75,66,91.99,5.82,1579827065
Kapaa,US,22.08,-159.32,75,57,79.0,11.41,1579827065
Laas,IT,46.62,10.7,5,79,33.01,3.36,1579826939
Shaunavon,CA,49.65,-108.42,39,85,23.07,11.14,1579827065
Chapais,CA,49.78,-74.85,90,78,14.0,5.82,1579827000
Acari,PE,-15.43,-74.62,78,81,68.79,3.71,1579827066
Alpena,US,45.06,-83.43,90,84,33.8,4.7,1579827012
Banda Aceh,ID,5.56,95.32,51,91,72.79,5.61,1579827066
Chokurdakh,RU,70.63,147.92,22,92,-32.57,8.81,1579826994
Ilulissat,GL,69.22,-51.1,100,51,12.2,21.92,1579827066
Bethel,US,41.37,-73.41,1,68,37.99,1.81,1579827066
Acapulco de Juarez,MX,16.86,-99.89,90,74,82.4,6.93,1579827066
Luderitz,NA,-26.65,15.16,0,88,66.2,1.12,1579827066
Krasnyye Tkachi,RU,57.49,39.76,51,78,15.8,11.18,1579827067
New Norfolk,AU,-42.78,147.06,75,45,64.99,11.41,1579826988
Butembo,CD,0.15,29.28,100,51,64.58,3.44,1579827067
Caconda,AO,-13.73,15.07,100,98,60.78,2.15,1579827067
Goderich,CA,43.75,-81.72,100,92,35.01,1.01,1579827067
Avarua,CK,-21.21,-159.78,90,88,82.4,11.41,1579827061
Philadelphia,US,39.95,-75.16,1,37,37.99,0.4,1579827044
Thompson,CA,55.74,-97.86,20,84,6.8,5.82,1579827005
Boa Vista,BR,2.82,-60.67,54,58,84.2,10.29,1579827068
Bayan,CN,46.08,127.4,0,86,-12.42,6.93,1579827068
Ust'-Kut,RU,56.79,105.77,77,97,-6.92,4.47,1579827068
Hilo,US,19.73,-155.09,75,65,80.6,5.82,1579826903
Portree,GB,57.41,-6.19,100,95,46.99,7.0,1579827068
Medianeira,BR,-25.3,-54.09,75,100,69.8,1.79,1579827068
Castro,BR,-24.79,-50.01,100,98,59.72,6.6,1579826882
Petatlan,MX,17.52,-101.27,75,66,84.2,6.93,1579827068
Ambilobe,MG,-13.2,49.05,100,91,77.2,8.1,1579827069
Zhigansk,RU,66.77,123.37,5,98,-34.78,5.84,1579827024
Rio Grande,BR,-32.03,-52.1,0,76,71.85,17.27,1579826984
Northam,GB,51.03,-4.22,90,100,43.0,2.24,1579827069
La Ronge,CA,55.1,-105.28,90,92,23.0,9.17,1579827069
Lyantonde,UG,-0.4,31.16,99,60,69.98,1.43,1579827069
Sibolga,ID,1.74,98.78,83,94,69.75,4.07,1579827069
Camana,PE,-16.62,-72.71,100,95,64.96,6.08,1579827069
Mulchen,CL,-37.72,-72.23,0,26,77.88,8.63,1579827070
Broome,US,42.25,-75.83,1,73,35.01,3.15,1579827070
Kargasok,RU,59.06,80.86,100,87,28.53,14.29,1579827070
Quatre Cocos,MU,-20.21,57.76,75,94,80.01,20.58,1579827070
Caesarea,IL,32.52,34.9,75,87,55.4,13.87,1579827070
Arraial do Cabo,BR,-22.97,-42.03,100,89,70.61,7.11,1579826884
Alice Springs,AU,-23.7,133.88,28,28,82.4,17.22,1579827070
Norman Wells,CA,65.28,-126.83,90,84,-2.2,5.82,1579827070
San Patricio,MX,19.22,-104.7,75,70,84.2,6.44,1579827070
Lompoc,US,34.64,-120.46,1,63,68.0,6.93,1579826825
Weihai,CN,37.5,122.11,54,55,35.71,22.48,1579827071
Lethem,GY,3.38,-59.8,91,42,88.36,15.35,1579827071
Aswan,EG,24.09,32.91,0,56,46.98,9.06,1579827071
Cherskiy,RU,68.75,161.3,43,93,-38.4,3.33,1579826915
Fukuecho,JP,32.69,128.84,75,87,57.2,8.05,1579827071
Atuona,PF,-9.8,-139.03,38,77,81.14,12.8,1579827060
Coquimbo,CL,-29.95,-71.34,97,68,68.0,10.29,1579826886
Puerto Escondido,MX,15.85,-97.07,90,74,80.6,6.93,1579826879
Poum,NC,-20.23,164.02,31,77,79.07,19.35,1579826890
Avera,US,33.19,-82.53,90,61,51.8,5.82,1579827073
Cayenne,GF,4.93,-52.33,11,94,71.6,3.42,1579827073
Kumul,CN,42.8,93.45,67,67,9.23,0.47,1579827073
Malakal,SS,9.53,31.66,99,13,65.95,10.13,1579827073
Katangli,RU,51.71,143.23,100,95,3.74,4.18,1579827074
Hasaki,JP,35.73,140.83,75,93,48.2,4.7,1579826923
Bambous Virieux,MU,-20.34,57.76,75,94,80.01,14.81,1579827074
Bredasdorp,ZA,-34.53,20.04,79,77,68.0,9.17,1579826993
Camacha,PT,33.08,-16.33,75,82,60.8,6.93,1579827074
Latung,PH,5.5,120.88,79,73,81.18,2.08,1579827074
Carira,BR,-10.36,-37.7,100,91,75.61,11.74,1579827074
Galle,LK,6.04,80.22,21,83,79.21,5.66,1579827074
Nuevitas,CU,21.55,-77.26,20,77,68.0,6.93,1579827075
Seydi,TM,39.48,62.91,85,86,46.99,19.19,1579827075
Chui,UY,-33.7,-53.46,0,83,69.13,9.71,1579827064
Buraidah,SA,26.33,43.98,0,74,37.4,1.77,1579827075
Methoni,GR,36.82,21.7,63,65,52.0,6.93,1579827075
Kitaibaraki,JP,36.78,140.75,75,65,51.01,6.93,1579827075
Saint-Pierre,RE,-21.34,55.48,100,100,78.8,9.51,1579826905
Half Moon Bay,US,37.46,-122.43,1,76,60.01,4.16,1579827075
Dingle,PH,11.0,122.67,25,88,76.91,12.01,1579826881
Twentynine Palms,US,34.14,-116.05,40,35,78.8,8.05,1579827076
Narsaq,GL,60.92,-46.05,100,73,23.0,12.75,1579826921
Hervey Bay,AU,-25.3,152.85,90,83,86.0,10.29,1579827076
Kahului,US,20.89,-156.47,20,50,80.6,4.7,1579827076
Souillac,MU,-20.52,57.52,75,94,80.01,12.68,1579827076
Sabha,LY,27.04,14.43,0,29,54.27,8.05,1579826830
Jacqueville,CI,5.21,-4.41,48,94,82.4,5.82,1579827077
Yellowknife,CA,62.46,-114.35,75,84,-2.0,10.29,1579827077
Krasnosel'kup,RU,65.7,82.47,100,92,12.33,17.49,1579827077
Lagoa,PT,39.05,-27.98,74,66,56.97,8.23,1579827077
Nikolskoye,RU,59.7,30.79,75,95,34.0,11.18,1579827077
Perevoz,RU,55.6,44.54,64,92,14.72,8.77,1579827077
Cockburn Town,TC,21.46,-71.14,0,61,75.22,11.5,1579827077
Bilgram,IN,27.18,80.03,23,64,47.79,9.95,1579827077
Newberg,US,45.3,-122.97,90,93,55.99,3.36,1579827078
Rantepao,ID,-2.97,119.9,82,88,72.72,0.56,1579827078
Bognor Regis,GB,50.78,-0.68,90,100,44.01,1.12,1579826846
San Juan,AR,-31.54,-68.54,62,23,93.31,17.34,1579826780
Kruisfontein,ZA,-34.0,24.73,2,88,62.31,9.48,1579827078
Albacete,ES,38.83,-2.0,20,93,41.0,5.82,1579827078
Sangar,RU,63.92,127.47,86,99,-42.74,2.51,1579827078
Port Moresby,PG,-9.44,147.18,20,62,89.6,11.41,1579827079
Alofi,NU,-19.06,-169.92,75,66,86.0,18.34,1579827079
Guardiagrele,IT,42.2,14.22,0,39,42.01,5.82,1579827079
Khatanga,RU,71.97,102.5,100,87,-23.13,9.57,1579826879
Marawi,PH,8.0,124.29,31,81,81.0,5.01,1579827079
Mount Gambier,AU,-37.83,140.77,75,63,64.4,17.22,1579826806
Nanortalik,GL,60.14,-45.24,100,92,29.39,16.82,1579827079
Vinh,VN,18.67,105.67,45,96,68.45,0.36,1579827079
Manokwari,ID,-0.87,134.08,16,77,77.63,6.08,1579826945
Karratha,AU,-20.74,116.85,14,75,83.3,8.81,1579827080
Laguna de Perlas,NI,12.34,-83.67,11,78,77.72,15.64,1579827080
Rockhampton,AU,-23.38,150.5,75,49,93.2,9.17,1579827080
Cerknica,SI,45.79,14.36,0,92,37.99,3.36,1579827080
Saint-Leu,RE,-21.15,55.28,100,100,78.8,4.61,1579827080
Mamu Kanjan,PK,30.83,72.8,50,44,47.21,5.19,1579827080
Carnarvon,AU,-24.87,113.63,0,33,87.8,14.99,1579827077
Brookhaven,US,31.58,-90.44,90,93,59.0,6.93,1579827081
Pacific Grove,US,36.62,-121.92,1,77,62.01,6.93,1579826949
Banamba,ML,13.55,-7.45,68,17,77.86,9.4,1579827081
Palmer,US,42.16,-72.33,1,73,36.0,3.36,1579826783
Asandh,IN,29.52,76.6,77,62,44.11,9.64,1579827081
Sumter,US,28.71,-82.08,90,100,64.4,5.73,1579827081
Kargat,RU,55.2,80.28,100,93,28.76,21.21,1579827081
Pyrzyce,PL,53.15,14.89,90,87,39.0,5.82,1579827082
Vestmannaeyjar,IS,63.44,-20.27,100,68,34.77,39.62,1579826953
Maceio,BR,-9.67,-35.74,100,88,78.8,6.93,1579826864
Kirensk,RU,57.79,108.11,12,92,-15.0,4.21,1579827082
Geraldton,AU,-28.77,114.6,0,50,77.0,8.05,1579827082
Pangnirtung,CA,66.15,-65.71,85,98,-31.45,2.91,1579827019
Claresholm,CA,50.03,-113.59,20,61,42.8,20.33,1579827083
Ha Tinh,VN,18.33,105.9,96,87,71.53,3.51,1579827083
Tomatlan,MX,19.93,-105.25,100,65,75.04,5.75,1579827083
Armizonskoye,RU,55.95,67.67,63,92,8.37,9.35,1579827083
Harper,LR,4.38,-7.72,42,91,78.28,2.91,1579827083
Puerto Carreno,CO,6.19,-67.49,91,55,89.6,6.93,1579826793
Sindhnur,IN,15.78,76.77,11,76,65.12,3.0,1579827083
Alberdi,AR,-32.89,-60.69,0,69,81.0,5.82,1579827084
Fort Smith,US,35.39,-94.4,1,100,44.6,3.36,1579827084
Hualmay,PE,-11.1,-77.61,97,74,72.12,3.06,1579826986
Blind River,CA,46.18,-82.96,90,94,33.8,8.03,1579827084
Nuuk,GL,64.18,-51.72,100,86,26.6,35.57,1579827084
Batagay,RU,67.63,134.63,95,93,-36.63,1.12,1579827084
Bondo,CD,3.81,23.69,50,30,67.86,5.73,1579827084
Jagdalpur,IN,19.07,82.03,41,76,59.32,1.77,1579827085
Gandai,IN,21.67,81.1,46,42,59.38,4.76,1579827085
Clyde River,CA,70.47,-68.59,5,75,-20.2,19.46,1579827085
Morococha,PE,-11.6,-76.14,100,90,37.8,2.62,1579827085
Torbay,CA,47.67,-52.73,90,85,28.0,11.41,1579827085
Miandrivazo,MG,-19.52,45.47,76,91,74.32,3.13,1579827085
Maniitsoq,GL,65.42,-52.9,100,94,24.37,23.76,1579827085
Thinadhoo,MV,0.53,72.93,51,79,83.89,16.17,1579827085
Khovd,MN,48.01,91.64,82,57,8.11,4.74,1579827086
Lerwick,GB,60.15,-1.15,97,81,44.6,24.16,1579827086
Okhotsk,RU,59.38,143.3,89,90,-20.36,4.32,1579826997
Vao,NC,-22.67,167.48,100,73,77.72,15.77,1579827086
Grand-Santi,GF,4.25,-54.38,18,55,75.04,3.53,1579827079
Sorland,NO,67.67,12.69,98,53,38.7,31.83,1579826890
Coyhaique,CL,-45.58,-72.07,75,44,57.2,5.82,1579827086
Rio Gallegos,AR,-51.62,-69.22,67,50,51.8,27.51,1579827087
Ephrata,US,40.18,-76.18,1,47,36.0,3.27,1579827087
Floresta,BR,-8.6,-38.57,100,86,74.75,8.21,1579827087
Tiznit,MA,29.58,-9.5,31,74,49.77,2.13,1579827087
Subtanjalla,PE,-14.02,-75.76,90,65,80.6,10.29,1579827087
Avanuorri,NO,71.0,24.66,75,86,28.4,17.22,1579827087
Berlevag,NO,70.86,29.09,100,84,25.77,22.88,1579826888
Tazovsky,RU,67.47,78.7,100,94,5.56,14.54,1579827087
Hirara,JP,24.8,125.28,20,88,71.6,4.7,1579827088
Omboue,GA,-1.57,9.26,100,95,76.48,2.57,1579827088
Kalmunai,LK,7.42,81.82,44,76,81.59,16.49,1579827088
Beira,MZ,-19.84,34.84,72,68,80.92,10.25,1579827088
Sao Filipe,CV,14.9,-24.5,5,76,71.74,7.11,1579827088
Najran,SA,17.49,44.13,40,62,51.8,1.57,1579827088
Nanchong,CN,30.8,106.08,100,78,46.13,10.6,1579827088
Kutum,SD,14.2,24.67,0,35,40.8,5.59,1579827088
Yayva,RU,59.33,57.26,100,89,15.01,1.99,1579827089
Brenham,US,30.17,-96.4,1,87,53.6,6.93,1579826836
Andrid,RO,47.52,22.35,38,92,27.0,4.7,1579827089
Sitka,US,57.05,-135.33,90,86,42.8,13.87,1579826946
Xiangfan,CN,32.04,112.14,100,82,43.99,11.27,1579827089
Mayo,US,38.89,-76.51,40,86,37.99,1.57,1579827089
Kahama,TZ,-3.83,32.6,99,91,64.51,2.15,1579827089
Buritis,BR,-15.62,-46.42,100,96,68.74,5.03,1579826954
Bairiki Village,KI,1.33,172.98,40,74,87.8,3.36,1579827089
Eureka,US,40.8,-124.16,90,76,57.99,3.02,1579827090
Chipinge,ZW,-20.19,32.62,78,86,63.41,4.68,1579826928
Abeche,TD,13.83,20.83,0,18,57.76,20.58,1579827090
Maghar,IL,32.89,35.41,58,88,47.7,10.18,1579827090
Husavik,IS,66.04,-17.34,90,86,26.6,35.57,1579826923
Priyutnoye,RU,46.1,43.51,80,92,26.01,13.0,1579827090
Santa Cruz de Barahona,DO,18.21,-71.1,21,79,78.89,13.22,1579827090
Kungurtug,RU,50.6,97.52,86,82,-1.25,3.78,1579827090
Vagur,FO,61.47,-6.81,95,72,40.32,40.87,1579827091
San Policarpo,PH,12.18,125.51,51,86,80.2,16.91,1579827091
Igboho,NG,8.83,3.75,10,14,71.51,4.54,1579827091
Hambantota,LK,6.12,81.12,5,100,77.0,10.29,1579827091
Lincoln,US,40.8,-96.67,90,86,32.0,13.87,1579826855
Umm Lajj,SA,25.02,37.27,0,44,53.13,6.38,1579827091
Ancud,CL,-41.87,-73.82,1,67,59.0,12.75,1579827091
Abdanan,IR,32.99,47.42,5,93,32.95,1.36,1579827091
Kalanchak,UA,46.26,33.29,7,77,32.0,10.8,1579827091
Port Macquarie,AU,-31.43,152.92,96,66,91.99,12.01,1579827092
Onega,RU,63.91,38.14,100,92,11.84,6.76,1579827092
Inirida,CO,3.87,-67.92,92,67,82.11,0.85,1579827092
Calabar,NG,4.95,8.32,15,84,78.94,1.32,1579827092
Halifax,CA,44.65,-63.57,40,86,34.0,9.17,1579827024
Khash,IR,28.22,61.22,72,91,46.74,8.01,1579826906
Tamale,GH,9.4,-0.84,15,12,79.36,9.19,1579827092
Kavieng,PG,-2.57,150.8,55,69,83.61,8.7,1579827078
Sola,VU,-13.88,167.55,40,66,87.8,2.24,1579827093
Tranas,SE,58.04,14.98,71,81,46.4,19.46,1579827093
Byron Bay,AU,-28.65,153.62,40,78,91.4,19.46,1579827084
Aksu,CN,41.12,80.26,25,82,18.66,0.67,1579826995
Westport,US,41.14,-73.36,1,69,39.99,5.3,1579826952
Maler Kotla,IN,30.52,75.88,61,62,42.31,8.43,1579827093
Kumluca,TR,36.37,30.29,0,47,37.17,14.63,1579827093
Nerchinskiy Zavod,RU,51.31,119.61,0,83,-20.29,4.61,1579827094
Beloha,MG,-25.17,45.05,6,85,68.18,10.56,1579827094
Yulara,AU,-25.24,130.99,71,28,84.2,17.22,1579827094
Loreto,MX,22.27,-101.97,50,18,63.39,0.96,1579827094
Henties Bay,NA,-22.12,14.28,0,92,66.0,1.99,1579827094
Churapcha,RU,62.0,132.43,100,97,-32.35,4.38,1579827094
Chippewa Falls,US,44.94,-91.39,90,92,32.0,4.7,1579826942
Callaway,US,30.15,-85.57,90,77,61.0,9.17,1579827094
Buta,CD,2.79,24.73,100,40,64.22,0.96,1579827095
Tres Passos,BR,-27.46,-53.93,8,93,66.99,6.69,1579827095
Tautira,PF,-17.73,-149.15,75,70,84.2,9.17,1579827095
Salalah,OM,17.02,54.09,75,73,75.2,3.36,1579827095
Yar-Sale,RU,66.83,70.83,100,95,10.56,8.68,1579827095
Kiunga,PG,-6.12,141.29,93,84,81.55,0.58,1579827095
Mehamn,NO,71.04,27.85,100,91,19.06,17.78,1579826926
New Bern,US,35.11,-77.04,1,87,55.4,6.62,1579827096
Douala,CM,4.05,9.7,75,88,82.4,3.98,1579827096
Pontianak,ID,-0.03,109.33,75,94,77.0,3.36,1579827096
Urdoma,RU,61.75,48.54,100,93,12.0,7.31,1579827096
Wanlaweyn,SO,2.62,44.89,84,76,78.85,14.65,1579827096
Dryden,CA,49.78,-92.75,90,85,15.8,6.93,1579827096
Casper,US,42.87,-106.31,90,55,35.01,11.41,1579827027
Buchanan,LR,5.88,-10.05,20,94,77.0,4.0,1579826953
Beringovskiy,RU,63.05,179.32,100,94,3.69,8.63,1579826922
Guerrero Negro,MX,27.98,-114.06,0,52,67.66,12.15,1579827097
Esmeraldas,BR,-19.76,-44.31,100,100,69.8,8.05,1579827097
Nouadhibou,MR,20.93,-17.03,26,70,63.28,18.81,1579827015
Hamilton,US,39.18,-84.53,90,77,44.01,5.3,1579827097
Bellevue,US,47.61,-122.2,75,93,55.0,8.05,1579826930
Luau,AO,-10.71,22.22,100,96,65.57,2.8,1579827097
Lambarene,GA,-0.7,10.24,54,95,75.65,1.36,1579827097
Leningradskiy,RU,69.38,178.42,9,96,-26.14,1.72,1579827098
Bingerville,CI,5.36,-3.89,29,94,82.4,5.82,1579827098
Tarakan,ID,3.3,117.63,9,86,75.61,5.75,1579827098
Sampit,ID,-2.53,112.95,49,91,78.73,0.85,1579827098
Kitimat,CA,54.05,-128.65,90,100,33.8,5.82,1579826911
Williston,US,48.15,-103.62,90,100,30.2,4.7,1579827094
Bardiyah,LY,31.76,25.09,76,67,59.99,14.27,1579827098
Bocas del Toro,PA,9.33,-82.25,82,99,64.99,1.01,1579827098
Wildeshausen,DE,52.9,8.43,40,100,36.0,5.82,1579827099
Tiksi,RU,71.69,128.87,4,82,-29.33,4.76,1579826989
Danielskuil,ZA,-28.19,23.54,0,30,66.29,12.12,1579827099
Tucurui,BR,-3.77,-49.67,99,89,76.89,3.27,1579827099
Itarema,BR,-2.92,-39.92,90,89,78.01,4.47,1579827099
Dali,CN,25.7,100.18,0,75,30.18,1.59,1579827099
Cabedelo,BR,-6.98,-34.83,20,83,80.6,4.7,1579827099
Levice,SK,48.22,18.61,75,85,28.99,4.9,1579827100
Namatanai,PG,-3.67,152.43,53,76,83.86,6.64,1579827097
Haines Junction,CA,60.75,-137.51,100,97,0.37,4.9,1579827084
Porto-Novo,BJ,6.5,2.6,20,94,80.6,5.82,1579827100
Aklavik,CA,68.22,-135.01,75,76,-9.4,4.7,1579827100
Saldanha,ZA,-33.01,17.94,28,60,69.8,3.36,1579827100
Yerofey Pavlovich,RU,53.97,121.97,2,83,-24.21,2.66,1579827100
Soure,BR,-0.72,-48.52,44,90,77.05,5.1,1579827100
Zelenoborskiy,RU,66.84,32.36,100,95,16.5,8.75,1579827101
Raver,IN,21.25,76.03,32,48,61.65,7.11,1579827101
Perelyub,RU,51.87,50.37,49,96,11.16,7.99,1579827101
Iquique,CL,-20.22,-70.14,55,64,75.2,4.7,1579827101
Yarada,IN,17.65,83.27,20,62,77.05,4.94,1579826834
Kirakira,SB,-10.45,161.92,0,64,85.86,4.65,1579827101
Jalu,LY,29.03,21.55,0,56,53.04,7.45,1579827101
Oussouye,SN,12.48,-16.55,100,61,77.0,6.93,1579827101
Pangody,RU,65.85,74.49,100,95,8.37,10.98,1579826824
Rincon,US,32.3,-81.24,90,76,54.0,3.36,1579827102
Ajdabiya,LY,30.76,20.23,10,73,57.97,10.0,1579827102
Luanda,AO,-8.84,13.23,97,82,81.7,9.95,1579826936
Solnechnyy,RU,50.72,136.63,100,95,-4.56,0.54,1579827027
Port Hardy,CA,50.7,-127.42,75,93,48.2,6.93,1579826991
Julio de Castilhos,BR,-29.23,-53.68,19,78,73.4,11.41,1579827006
Taihecun,CN,45.8,130.85,0,85,-4.43,12.77,1579827103
Sohag,EG,26.56,31.69,0,57,50.0,6.93,1579827103
Leer,SS,8.3,30.14,100,17,63.68,7.16,1579827103
Yangambi,CD,0.81,24.43,100,43,70.32,2.06,1579827103
Cabo San Lucas,MX,22.89,-109.91,20,64,71.01,11.41,1579827103
Zacatepec,MX,18.65,-99.2,75,31,78.01,6.31,1579827103
Tahoua,NE,14.89,5.27,9,12,68.0,9.17,1579827103
Narwar,IN,25.65,77.9,63,55,50.25,4.05,1579827103
Ekibastuz,KZ,51.67,75.37,100,78,29.39,24.09,1579827103
Sawakin,SD,19.11,37.33,0,59,69.6,19.8,1579827104
Labuhan,ID,-6.88,112.21,6,84,78.73,3.29,1579827104
Hoechst,AT,47.46,9.64,75,92,30.2,2.24,1579827104
Menongue,AO,-14.66,17.69,98,91,65.46,1.43,1579827104
Ubari,LY,26.59,12.78,88,27,55.38,9.28,1579827104
Hofn,IS,64.25,-15.21,59,59,36.1,41.96,1579827104
Noumea,NC,-22.28,166.46,75,52,87.8,10.29,1579827104
Soyo,AO,-6.13,12.37,100,83,81.39,6.22,1579827104
Oranjemund,NA,-28.55,16.43,0,85,64.49,0.47,1579827104
Muhos,FI,64.75,26.17,83,80,35.6,20.8,1579827105
Carandai,BR,-20.95,-43.81,100,98,64.71,6.89,1579827105
Coracora,PE,-15.03,-73.78,100,96,47.8,5.97,1579827105
Gigmoto,PH,13.78,124.39,69,82,80.1,21.79,1579827084
Wakefield,GB,53.68,-1.5,90,93,46.0,17.22,1579827105
Poceirao,PT,38.83,-8.79,20,100,51.01,2.24,1579827105
